titulo,genero,fecha_lanzamiento,anio_lanzamiento,puntuacion,popularidad,director,actores,sinopsis
TITANIC,DRAMA,1997-11-18,1997,7.906,134.839,JAMES CAMERON,"LEONARDO DICAPRIO, KATE WINSLET, BILLY ZANE","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
TITANIC,ROMANCE,1997-11-18,1997,7.906,134.839,JAMES CAMERON,"LEONARDO DICAPRIO, KATE WINSLET, BILLY ZANE","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
THE DARK KNIGHT,DRAMA,2008-07-16,2008,8.516,193.867,CHRISTOPHER NOLAN,"CHRISTIAN BALE, HEATH LEDGER, AARON ECKHART","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
THE DARK KNIGHT,ACCION,2008-07-16,2008,8.516,193.867,CHRISTOPHER NOLAN,"CHRISTIAN BALE, HEATH LEDGER, AARON ECKHART","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
THE DARK KNIGHT,CRIMEN,2008-07-16,2008,8.516,193.867,CHRISTOPHER NOLAN,"CHRISTIAN BALE, HEATH LEDGER, AARON ECKHART","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
THE DARK KNIGHT,THRILLER,2008-07-16,2008,8.516,193.867,CHRISTOPHER NOLAN,"CHRISTIAN BALE, HEATH LEDGER, AARON ECKHART","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
INTERSTELLAR,AVENTURA,2014-11-05,2014,8.44,154.402,CHRISTOPHER NOLAN,"MATTHEW MCCONAUGHEY, ANNE HATHAWAY, JESSICA CHASTAIN","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
INTERSTELLAR,DRAMA,2014-11-05,2014,8.44,154.402,CHRISTOPHER NOLAN,"MATTHEW MCCONAUGHEY, ANNE HATHAWAY, JESSICA CHASTAIN","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
INTERSTELLAR,CIENCIA FICCION,2014-11-05,2014,8.44,154.402,CHRISTOPHER NOLAN,"MATTHEW MCCONAUGHEY, ANNE HATHAWAY, JESSICA CHASTAIN","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
SHREK,ANIMACION,2001-05-18,2001,7.744,123.095,"ANDREW ADAMSON, VICKY JENSON","MIKE MYERS, EDDIE MURPHY, CAMERON DIAZ","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
SHREK,COMEDIA,2001-05-18,2001,7.744,123.095,"ANDREW ADAMSON, VICKY JENSON","MIKE MYERS, EDDIE MURPHY, CAMERON DIAZ","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
SHREK,FANTASIA,2001-05-18,2001,7.744,123.095,"ANDREW ADAMSON, VICKY JENSON","MIKE MYERS, EDDIE MURPHY, CAMERON DIAZ","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
SHREK,AVENTURA,2001-05-18,2001,7.744,123.095,"ANDREW ADAMSON, VICKY JENSON","MIKE MYERS, EDDIE MURPHY, CAMERON DIAZ","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
SHREK,FAMILIAR,2001-05-18,2001,7.744,123.095,"ANDREW ADAMSON, VICKY JENSON","MIKE MYERS, EDDIE MURPHY, CAMERON DIAZ","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
THE MATRIX,ACCION,1999-03-31,1999,8.217,88.939,"LANA WACHOWSKI, LILLY WACHOWSKI","KEANU REEVES, LAURENCE FISHBURNE, CARRIE-ANNE MOSS","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
THE MATRIX,CIENCIA FICCION,1999-03-31,1999,8.217,88.939,"LANA WACHOWSKI, LILLY WACHOWSKI","KEANU REEVES, LAURENCE FISHBURNE, CARRIE-ANNE MOSS","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
